学生姓名,生源地,毕业去向,就业单位名称/征兵办名称/项目名称/创业单位名称/升学院校名称/境外单位名称,单位/征兵办/项目/院校所属地区,单位/征兵办/项目/院校所属地区.1,岗位名称/专业名称/工作内容,职业类型,薪酬,签约时间/入伍时间/创业时间/就业时间/入学、入职时间,专业与就业相关度,院系,专业名称,学历
,广东省汕尾市陆丰市,签劳动合同形式就业,深圳市尊诚装饰设计有限公司,广东省深圳市宝安区,广东省深圳市宝安区,室内设计师,商业和服务业人员,3000.0,2021-08-01,一般匹配,艺术设计学院,艺术设计-2年制,专科
,广东省梅州市平远县,签劳动合同形式就业,广东省外语艺术职业学院,广东省广州市天河区,广东省广州市天河区,行政人员,办事人员和有关人员,2500.0,2021-07-10,不匹配,艺术设计学院,艺术设计-2年制,专科
,广东省广州市海珠区,其他录用形式就业,广州英氏印刷科技有限公司,广东省广州市,广东省广州市,产品运营助理,商业和服务业人员,2800.0,2020-11-16,一般匹配,信息学院,计算机应用技术（网络）,专科
,广东省佛山市顺德区,其他录用形式就业,佛山市顺德区周大福珠宝首饰有限公司,广东省佛山市顺德区,广东省佛山市顺德区,编号员,其他专业技术人员,3000.0,2021-03-15,一般匹配,信息学院,数字媒体应用技术-2年制,专科
,广东省梅州市兴宁市,签就业协议形式就业,广州市番禺区荣达幼教集团东怡幼儿学校,广东省广州市番禺区,广东省广州市番禺区,副班,教学人员,3900.0,2021-03-01,很匹配,学前教育学院,学前教育-2年制,专科
,广东省云浮市罗定市,其他录用形式就业,化州市光宝光伏能源有限公司,广东省化州市,广东省化州市,美工,其他专业技术人员,3500.0,2021-04-16,比较匹配,艺术设计学院,影视动画-2年制,专科
,广东省广州市荔湾区,其他录用形式就业,广州赞熹文化传播有限公司,广东省广州市荔湾区,广东省广州市荔湾区,员工,文学艺术工作人员,3000.0,2021-02-28,很匹配,信息学院,数字媒体应用技术-2年制,专科
,广东省广州市白云区,其他录用形式就业,广东省外语艺术职业学院,广东省广州市天河区,广东省广州市天河区,人事管理文员,办事人员和有关人员,2100.0,2021-07-01,不匹配,信息学院,数字媒体应用技术（游戏动画）,专科
,广东省珠海市香洲区,其他录用形式就业,广州市圣丹文化传播有限公司,广东省广州市荔湾区,广东省广州市荔湾区,舞蹈老师,教学人员,3500.0,2021-08-01,匹配,音乐舞蹈学院,舞蹈表演-5年制,专科
,广东省广州市花都区,境内升学,广州工商学院,广东省广州市花都区,广东省广州市花都区,视觉传达设计,其他人员,,2021-08-28,,艺术设计学院,艺术设计-2年制,专科
,四川省广元市旺苍县,其他录用形式就业,佛山市顺德区杏坛镇爱兵广告图文服务部,广东省佛山市顺德区,广东省佛山市顺德区,户外广告安装助理,其他专业技术人员,4000.0,2021-03-01,一般匹配,信息学院,计算机应用技术（云计算运维）-2年制,专科
,广东省清远市连州市,境内升学,广州应用科技学院,广东省广州市增城区,广东省广州市增城区,美术学,其他人员,,2021-08-28,,艺术教育学院,美术教育,专科
,广东省东莞市,签劳动合同形式就业,东莞市常平曼洛蒂培训中心有限公司,广东省东莞市,广东省东莞市,行政助理,办事人员和有关人员,4500.0,2021-04-20,一般匹配,外语外贸学院,商务英语,专科
,广东省佛山市三水区,签劳动合同形式就业,佛山市三水区西南街李丽英口腔诊所,广东省佛山市三水区,广东省佛山市三水区,人事行政,办事人员和有关人员,3600.0,2021-08-23,比较匹配,公共管理学院,人力资源管理,专科
,广东省云浮市云安区,签就业协议形式就业,云浮市奥博教育科技有限公司,广东省云浮市云城区,广东省云浮市云城区,教师,教学人员,3000.0,2021-03-01,比较匹配,学前教育学院,早期教育,专科
,广东省江门市开平市,其他录用形式就业,江门市大长江集团有限公司,广东省江门市蓬江区,广东省江门市蓬江区,备料员,生产和运输设备操作人员,4000.0,2021-04-15,一般匹配,信息学院,计算机应用技术（云计算运维）,专科
,广东省汕头市潮阳区,签劳动合同形式就业,广州市心中京美文化艺术有限公司,广东省广州市,广东省广州市,教务老师,其他人员,4000.0,2022-05-28,匹配,信息学院,现代教育技术,专科
,广东省广州市白云区,境内升学,广州应用科技学院,广东省广州市增城区,广东省广州市增城区,法学,其他人员,,2021-09-01,,外语外贸学院,电子商务,专科
,广东省河源市源城区,境内升学,广州应用科技学院,广东省广州市增城区,广东省广州市增城区,计算机科学与技术,其他人员,,2021-09-01,,信息学院,数字展示技术,专科
,广东省汕头市潮南区,签就业协议形式就业,广州尚新教育咨询有限公司,广东省广州市海珠区,广东省广州市海珠区,助理教师,其他人员,2000.0,2021-02-18,匹配,学前教育学院,早期教育,专科
,广东省湛江市徐闻县,其他录用形式就业,广州星邦广告有限公司,广东省广州市天河区,广东省广州市天河区,平面设计助理,办事人员和有关人员,4200.0,2021-06-28,匹配,公共管理学院,文秘,专科
,广东省汕头市,签就业协议形式就业,广州天河区际腾教育咨询有限公司,广东省广州市天河区,广东省广州市天河区,电教英语老师,教学人员,3500.0,2021-02-25,一般匹配,外语外贸学院,国际贸易实务,专科
,广东省阳江市阳东区,其他录用形式就业,广州一分文化传媒有限公司,广东省广州市天河区,广东省广州市天河区,电商运营,其他人员,2500.0,2020-12-25,一般匹配,外语外贸学院,商务英语,专科
,广东省湛江市吴川市,境内升学,广东技术师范大学,广东省广州市白云区,广东省广州市白云区,学前教育,其他人员,,2021-09-01,,学前教育学院,学前教育,专科
,广东省肇庆市鼎湖区,境内升学,肇庆学院,广东省肇庆市端州区,广东省肇庆市端州区,学前教育,其他人员,,2021-09-01,,学前教育学院,早期教育,专科
,广东省清远市连州市,签就业协议形式就业,河源市得君管理咨询有限公司,广东省河源市,广东省河源市,客服,商业和服务业人员,3600.0,2021-02-20,一般匹配,基础教育学院,小学教育,专科
,广东省佛山市高明区,签就业协议形式就业,广州艺奇教育有限公司,广东省广州市海珠区,广东省广州市海珠区,副班老师,教学人员,4500.0,2021-02-18,很匹配,学前教育学院,早期教育,专科
,广东省肇庆市高要区,签就业协议形式就业,江西丽影毛毯有限公司,江西省黎川县,江西省黎川县,销售副总助理,其他人员,4000.0,2020-09-01,比较匹配,外语外贸学院,旅游英语,专科
,广东省揭阳市惠来县,其他录用形式就业,深圳市好帮手文化传播有限公司,广东省深圳市罗湖区,广东省深圳市罗湖区,作业辅导老师,教学人员,4000.0,2021-03-04,比较匹配,基础教育学院,语文教育,专科
,广东省揭阳市揭西县,其他录用形式就业,金宏建材（东莞）有限责任公司,广东省东莞市,广东省东莞市,行政助理,其他人员,3000.0,2020-11-10,比较匹配,公共管理学院,人力资源管理,专科
,广东省茂名市化州市,签劳动合同形式就业,广东越翔科技有限公司,广东省广州市增城区,广东省广州市增城区,销售顾问,商业和服务业人员,2100.0,2021-07-06,不匹配,信息学院,计算机应用技术（移动应用）,专科
,广东省河源市和平县,境内升学,广州华立学院,广东省广州市增城区,广东省广州市增城区,人力资源管理,其他人员,,2021-08-27,,公共管理学院,文秘,专科
,广东省肇庆市高要区,境内升学,广东第二师范学院,广东省广州市海珠区,广东省广州市海珠区,学前教育,其他人员,,2021-09-04,,学前教育学院,早期教育,专科
,广东省清远市阳山县,签就业协议形式就业,广州维塔利斯生物科技有限公司,广东省广州市天河区,广东省广州市天河区,运营助理,其他专业技术人员,5000.0,2020-11-23,匹配,外语外贸学院,电子商务,专科
,广东省汕尾市陆河县,签劳动合同形式就业,广州罗拉信息科技有限公司,广东省广州市天河区,广东省广州市天河区,独立站客服组客服专员,其他专业技术人员,4000.0,2020-12-21,比较匹配,外语外贸学院,应用英语,专科
,广东省惠州市博罗县,境内升学,广东白云学院,广东省广州市白云区,广东省广州市白云区,英语,其他人员,,2021-09-01,,基础教育学院,英语教育,专科
,广东省茂名市化州市,境内升学,韩山师范学院,广东省潮州市湘桥区,广东省潮州市湘桥区,英语教育,其他人员,,2021-09-01,,基础教育学院,英语教育,专科
,广东省揭阳市惠来县,境内升学,肇庆学院,广东省肇庆市端州区,广东省肇庆市端州区,小学教育,其他人员,,2021-08-28,,基础教育学院,小学教育,专科
,湖南省衡阳市衡南县,境内升学,广东第二师范学院,广东省广州市海珠区,广东省广州市海珠区,学前教育,其他人员,,2021-09-04,,学前教育学院,学前教育,专科
,广东省珠海市,待就业,,,,,,,,,外语外贸学院,应用韩语,专科
,广东省汕头市潮阳区,境内升学,韩山师范学院,广东省潮州市湘桥区,广东省潮州市湘桥区,英语,其他人员,,2021-09-01,,外语外贸学院,旅游英语,专科
,广东省云浮市郁南县,签劳动合同形式就业,云浮市郁南县都城镇华星文化艺术培训中心,广东省云浮市郁南县,广东省云浮市郁南县,教师,其他人员,4500.0,2021-06-01,匹配,艺术教育学院,舞蹈教育-5年制,专科
,广东省揭阳市揭西县,其他录用形式就业,揭西县五经富镇经富小学,广东省揭阳市揭西县,广东省揭阳市揭西县,语文老师,教学人员,1800.0,2021-02-22,比较匹配,艺术教育学院,音乐教育-5年制,专科
,广西壮族自治区钦州市灵山县,签劳动合同形式就业,广州金燕达观文化传播有限公司,广东省东莞市,广东省东莞市,平面设计师,其他人员,4500.0,2021-06-23,很匹配,艺术设计学院,艺术设计-2年制,专科
,广东省揭阳市揭东区,签就业协议形式就业,揭阳市揭东区曲溪龙誊寄餐园,广东省揭阳市揭东区,广东省揭阳市揭东区,揭阳市揭东区曲溪龙誉寄餐园,教学人员,3200.0,2021-03-01,匹配,基础教育学院,英语教育-5年制,专科
,广东省江门市鹤山市,签劳动合同形式就业,广州歌瑞斯贸易有限公司,广东省广州市白云区,广东省广州市白云区,贸易推广,其他人员,3000.0,2021-04-07,比较匹配,外语外贸学院,应用英语,专科
,广东省江门市台山市,其他录用形式就业,广州丝芭文化传媒有限公司,广东省广州市番禺区,广东省广州市番禺区,活动执行,其他人员,4000.0,2021-05-20,不匹配,音乐舞蹈学院,歌舞表演,专科
,广东省茂名市化州市,自主创业,汕头市澄海区骏华糖果玩具有限公司,广东省广州市天河区,广东省广州市天河区,,文学艺术工作人员,3000.0,2021-10-15,匹配,音乐舞蹈学院,表演艺术,专科
,广东省茂名市高州市,其他录用形式就业,佛山市禅城区明珠浅水湾幼儿园,广东省佛山市禅城区,广东省佛山市禅城区,教师,教学人员,2000.0,2021-02-22,很匹配,学前教育学院,早期教育,专科
,广东省广州市从化区,境内升学,韶关学院,广东省韶关市浈江区,广东省韶关市浈江区,音乐学,其他人员,,2021-09-01,,音乐舞蹈学院,歌舞表演,专科
,广东省韶关市始兴县,境内升学,广州理工学院,广东省广州市白云区,广东省广州市白云区,环境设计,其他人员,,2022-08-26,,艺术设计学院,艺术设计,专科
,广东省汕尾市陆丰市,签就业协议形式就业,恩平市儒园文具有限公司,广东省恩平市,广东省恩平市,电商运营,其他人员,3000.0,2021-04-12,一般匹配,外语外贸学院,商务日语,专科
,河北省保定市涿州市,签劳动合同形式就业,广州络维建筑信息技术咨询有限公司,广东省广州市荔湾区,广东省广州市荔湾区,unity开发,工程技术人员,3500.0,2021-07-09,很匹配,信息学院,数字展示技术,专科
,广东省江门市开平市,签劳动合同形式就业,广州绍伦锁类照明商业有限公司,广东省广州市天河区,广东省广州市天河区,平面设计,其他专业技术人员,4500.0,2021-07-01,匹配,信息学院,数字媒体应用技术,专科
,广东省广州市天河区,签就业协议形式就业,广州燊坤商贸有限公司,广东省广州市海珠区,广东省广州市海珠区,总经理助理,办事人员和有关人员,4000.0,2021-03-10,比较匹配,学前教育学院,学前教育-2年制,专科
,广东省广州市越秀区,签劳动合同形式就业,广州多糖软件科技有限公司,广东省广州市天河区,广东省广州市天河区,视频编辑,其他人员,5000.0,2021-07-01,匹配,信息学院,数字媒体应用技术-2年制,专科
,广东省深圳市罗湖区,境内升学,广东工商职业技术大学,广东省肇庆市端州区,广东省肇庆市端州区,应用英语,其他人员,,2022-09-12,匹配,基础教育学院,英语教育-5年制,专科
,广东省珠海市香洲区,签劳动合同形式就业,广东学商电子商务有限公司,广东省珠海市香洲区,广东省珠海市香洲区,销售专员,其他人员,3300.0,2021-08-18,一般匹配,信息学院,计算机应用技术（云计算运维）-2年制,专科
,广东省梅州市五华县,境内升学,广东第二师范学院,广东省广州市天河区,广东省广州市天河区,学前教育,其他人员,,2021-09-04,,学前教育学院,学前教育-2年制,专科
,广东省韶关市乐昌市,签劳动合同形式就业,广州商汇文化传播有限公司,广东省广州市海珠区,广东省广州市海珠区,拍摄剪辑,其他人员,5000.0,2021-04-20,不匹配,信息学院,计算机应用技术（云计算运维）-2年制,专科
,广东省汕头市潮阳区,境内升学,广州商学院,广东省广州市黄埔区,广东省广州市黄埔区,英语,其他人员,,2021-09-01,,基础教育学院,英语教育-5年制,专科
,广东省梅州市大埔县,境内升学,广东工商职业技术大学,广东省肇庆市端州区,广东省肇庆市端州区,学前教育,其他人员,,2021-09-12,,学前教育学院,学前教育-2年制,专科
,广东省广州市天河区,签就业协议形式就业,广州市维度教育有限公司,广东省广州市荔湾区,广东省广州市荔湾区,美术科研助教,教学人员,3000.0,2021-02-28,匹配,学前教育学院,学前教育-2年制,专科
,广东省清远市清城区,境内升学,广东技术师范大学,广东省广州市白云区,广东省广州市白云区,学前教育,其他人员,,2021-08-28,,学前教育学院,学前教育,专科
,广东省广州市天河区,境内升学,广东第二师范学院,广东省广州市海珠区,广东省广州市海珠区,音乐学,其他人员,,2021-09-01,,音乐舞蹈学院,表演艺术,专科
,广东省揭阳市惠来县,待就业,,,,,,,,,基础教育学院,小学教育,专科
,广东省云浮市罗定市,境内升学,珠海科技学院,广东省珠海市金湾区,广东省珠海市金湾区,汉语言文学,其他人员,,2021-09-04,,基础教育学院,语文教育,专科
,广东省广州市海珠区,自主创业,智慧居家养老产品设计,广东省广州市天河区,广东省广州市天河区,,其他专业技术人员,3000.0,2021-03-13,比较匹配,艺术设计学院,产品艺术设计,专科
,广东省广州市增城区,境内升学,广州商学院,广东省广州市黄埔区,广东省广州市黄埔区,商务英语(中英双语创新班),其他人员,,2021-09-01,,基础教育学院,英语教育,专科
,广东省汕头市潮南区,其他录用形式就业,广州拓客商贸有限公司,广东省广州市白云区,广东省广州市白云区,亚马逊文员,办事人员和有关人员,4000.0,2021-03-31,一般匹配,外语外贸学院,旅游英语,专科
,广东省广州市增城区,境内升学,广东第二师范学院,广东省广州市花都区,广东省广州市花都区,行政管理,其他人员,,2021-09-04,,公共管理学院,文秘,专科
,广东省湛江市雷州市,境内升学,广州华商学院,广东省广州市增城区,广东省广州市增城区,英语,其他人员,,2021-09-01,,基础教育学院,英语教育,专科
,广东省广州市花都区,其他录用形式就业,广州聚福物业管理有限公司,广东省广州市海珠区,广东省广州市海珠区,文员,商业和服务业人员,3000.0,2020-12-20,一般匹配,信息学院,计算机应用技术（网络）,专科
,广东省肇庆市端州区,境内升学,广东理工学院,广东省肇庆市高要区,广东省肇庆市高要区,商务英语,其他人员,,2021-09-03,,外语外贸学院,商务英语,专科
,广东省肇庆市德庆县,签就业协议形式就业,广州伶姿科技有限公司,广东省广州市黄埔区,广东省广州市黄埔区,外贸业务员,商业和服务业人员,4000.0,2021-04-12,比较匹配,外语外贸学院,国际贸易实务,专科
,广东省东莞市,签就业协议形式就业,东莞市东城新金榜婴幼儿教育咨询服务有限公司,广东省东莞市,广东省东莞市,指导师,教学人员,3250.0,2021-02-28,匹配,学前教育学院,早期教育,专科
,广东省惠州市惠城区,境内升学,广州工商学院,广东省佛山市三水区,广东省佛山市三水区,商务英语,其他人员,,2021-08-29,,基础教育学院,小学教育,专科
,广东省广州市花都区,境内升学,华南农业大学珠江学院,广东省广州市从化区,广东省广州市从化区,汉语言文学,其他人员,,2021-09-01,,外语外贸学院,商务日语,专科
,广东省潮州市湘桥区,签劳动合同形式就业,广州市巧兔文化活动策划有限公司,广东省广州市天河区,广东省广州市天河区,舞蹈老师,教学人员,3000.0,2021-03-01,比较匹配,艺术教育学院,舞蹈教育-5年制,专科
,广东省揭阳市揭西县,签劳动合同形式就业,广州花园酒店有限公司,广东省广州市越秀区,广东省广州市越秀区,服务员,商业和服务业人员,4000.0,2021-07-13,一般匹配,外语外贸学院,应用英语,专科
,广东省佛山市南海区,签就业协议形式就业,广州文昊体育用品有限公司,广东省广州市增城区,广东省广州市增城区,销售,商业和服务业人员,4500.0,2021-03-14,比较匹配,学前教育学院,早期教育,专科
,广东省茂名市电白区,其他录用形式就业,广州市越秀区动漫星城广场漫模一室精品店,广东省广州市越秀区,广东省广州市越秀区,平面设计师,商业和服务业人员,2100.0,2021-03-17,一般匹配,艺术设计学院,艺术设计-2年制,专科
,广东省广州市白云区,签就业协议形式就业,广州白云区启雅幼儿园有限公司,广东省广州市白云区,广东省广州市白云区,副班,教学人员,2600.0,2021-04-12,匹配,学前教育学院,学前教育-2年制,专科
,广东省河源市龙川县,境内升学,韩山师范学院,广东省潮州市湘桥区,广东省潮州市湘桥区,音乐表演,其他人员,,2021-09-01,,音乐舞蹈学院,表演艺术-5年制,专科
,广东省韶关市翁源县,签就业协议形式就业,广州健乐居民服务有限责任公司,广东省广州市黄埔区,广东省广州市黄埔区,教师,教学人员,2000.0,2021-02-22,匹配,学前教育学院,学前教育-2年制,专科
,广东省梅州市丰顺县,签就业协议形式就业,华南农业大学幼儿园,广东省广州市天河区,广东省广州市天河区,教师,教学人员,5000.0,2021-01-17,很匹配,学前教育学院,学前教育-2年制,专科
,广东省河源市源城区,其他录用形式就业,佛山市南海区狮山镇万石村万石经济联合社,广东省佛山市南海区,广东省佛山市南海区,前台服务,办事人员和有关人员,3000.0,2021-03-15,不匹配,基础教育学院,英语教育-5年制,专科
,广东省汕头市潮南区,自主创业,深圳市万来达科技有限公司,广东省深圳市宝安区,广东省深圳市宝安区,,其他人员,5000.0,2021-04-10,比较匹配,外语外贸学院,商务英语,专科
,广东省梅州市大埔县,签劳动合同形式就业,广州丝芭文化传媒有限公司,广东省广州市番禺区,广东省广州市番禺区,视频后期,新闻出版和文化工作人员,4000.0,2021-07-15,比较匹配,艺术设计学院,影视动画,专科
,广东省广州市白云区,境内升学,珠海科技学院,广东省珠海市金湾区,广东省珠海市金湾区,人力资源管理,其他人员,,2021-09-05,,公共管理学院,人力资源管理,专科
,广东省揭阳市揭西县,签劳动合同形式就业,揭西县棉湖镇实验学校,广东省揭阳市揭西县,广东省揭阳市揭西县,初二音乐教师,教学人员,2600.0,2021-02-22,不匹配,音乐舞蹈学院,音乐制作,专科
,广东省湛江市徐闻县,签就业协议形式就业,深圳市奥园实业发展有限公司广州奥园喜来登酒店分公司,广东省广州市番禺区,广东省广州市番禺区,广州奥园喜来登酒店,其他人员,3200.0,2021-03-01,匹配,外语外贸学院,旅游英语,专科
,广东省肇庆市广宁县,其他录用形式就业,中国平安人寿保险股份有限公司广州电话销售中心,广东省广州市越秀区,广东省广州市越秀区,服务顾问,商业和服务业人员,3000.0,2021-03-16,不匹配,外语外贸学院,商务日语,专科
,广东省江门市新会区,其他录用形式就业,广州开发区第一小学,广东省广州市黄埔区,广东省广州市黄埔区,小学语文教师,教学人员,3000.0,2021-02-21,匹配,基础教育学院,小学教育,专科
,广东省深圳市宝安区,签劳动合同形式就业,阿迪达斯（中国）有限公司,广东省深圳市宝安区,广东省深圳市宝安区,销售助理,商业和服务业人员,3050.0,2020-10-01,一般匹配,外语外贸学院,旅游英语,专科
,广东省河源市龙川县,签劳动合同形式就业,恒乐商贸发展（广州）有限公司,广东省广州市越秀区,广东省广州市越秀区,前台助理,其他人员,3500.0,2021-06-01,一般匹配,外语外贸学院,商务日语,专科
,广东省广州市番禺区,应征义务兵,番禺区大石街武装部,广东省广州市番禺区,广东省广州市番禺区,,军人,,2021-09-20,匹配,信息学院,计算机应用技术（云计算运维）,专科
,广东省珠海市斗门区,其他录用形式就业,珠海市斗门区井岸镇中心幼儿园,广东省珠海市斗门区,广东省珠海市斗门区,教师,教学人员,4500.0,2021-08-01,很匹配,学前教育学院,早期教育,专科
,广东省潮州市潮安区,签就业协议形式就业,广东万商软件科技有限公司,广东省潮州市潮安区,广东省潮州市潮安区,策划助理,商业和服务业人员,4500.0,2021-01-21,匹配,公共管理学院,文秘,专科
,广东省清远市清新区,签就业协议形式就业,东莞市屿桥教育咨询有限公司,广东省东莞市,广东省东莞市,早教英文指导师,教学人员,4000.0,2021-03-01,很匹配,学前教育学院,早期教育,专科
,广东省汕头市,签就业协议形式就业,深圳市温亦企业管理咨询有限公司,广东省深圳市,广东省深圳市,外贸业务员,经济业务人员,4000.0,2020-11-24,匹配,外语外贸学院,国际贸易实务,专科
,广东省揭阳市普宁市,境内升学,广东第二师范学院,广东省广州市花都区,广东省广州市花都区,商务英语,其他人员,,2021-09-01,,外语外贸学院,商务英语,专科
,广东省江门市恩平市,签劳动合同形式就业,广东繁果科技有限公司,广东省佛山市南海区,广东省佛山市南海区,抖音运营,其他人员,2500.0,2020-12-23,很匹配,外语外贸学院,电子商务,专科
,广东省肇庆市封开县,其他录用形式就业,广州空杯广告传媒有限公司,广东省广州市白云区,广东省广州市白云区,摄影师,其他专业技术人员,5000.0,2021-08-13,很匹配,信息学院,数字媒体应用技术,专科
,广东省广州市天河区,签劳动合同形式就业,广州安菲环保科技有限公司,广东省广州市黄埔区,广东省广州市黄埔区,短视频剪辑师,其他专业技术人员,4500.0,2021-04-08,很匹配,信息学院,数字媒体应用技术,专科
,广东省茂名市化州市,其他录用形式就业,东莞市虎门浩添服装加工厂,广东省东莞市,广东省东莞市,服装设计师,其他人员,3500.0,2021-04-23,一般匹配,艺术教育学院,美术教育,专科
,广东省河源市源城区,签劳动合同形式就业,赞同科技股份有限公司广州分公司,广东省广州市天河区,广东省广州市天河区,招聘助理,办事人员和有关人员,4000.0,2021-08-20,匹配,公共管理学院,人力资源管理,专科
,广西壮族自治区梧州市龙圩区,其他录用形式就业,广州壹米滴答物流有限公司,广东省广州市白云区,广东省广州市白云区,业务员,其他人员,4000.0,2020-12-01,一般匹配,信息学院,计算机应用技术（网络）,专科
,广东省广州市天河区,境内升学,广东技术师范大学,广东省广州市白云区,广东省广州市白云区,学前教育,其他人员,,2021-09-01,,学前教育学院,学前教育,专科
,广东省广州市增城区,自主创业,广州市艺空间教育咨询有限公司,广东省广州市增城区,广东省广州市增城区,,教学人员,7500.0,2022-02-09,一般匹配,艺术设计学院,玉器设计与工艺,专科
,广东省揭阳市惠来县,境内升学,广州新华学院,广东省广州市,广东省广州市,汉语言文学,其他人员,,2021-08-28,,公共管理学院,文秘,专科
,广东省茂名市电白区,境内升学,韩山师范学院,广东省潮州市,广东省潮州市,英语,其他人员,,2021-09-01,,基础教育学院,英语教育,专科
,广东省广州市越秀区,其他录用形式就业,广州金色计划教育科技有限公司,广东省广州市,广东省广州市,美术老师,教学人员,4000.0,2021-03-01,一般匹配,艺术设计学院,产品艺术设计,专科
,广东省河源市源城区,签就业协议形式就业,广州芭媞莎艺术教育有限公司,广东省广州市天河区,广东省广州市天河区,舞蹈老师,教学人员,4000.0,2021-05-19,很匹配,艺术教育学院,舞蹈教育,专科
,广东省汕尾市陆丰市,其他录用形式就业,深圳市博才网络科技有限公司,广东省深圳市龙华区,广东省深圳市龙华区,行政人员,办事人员和有关人员,6000.0,2021-03-01,一般匹配,学前教育学院,早期教育,专科
,广东省惠州市博罗县,境内升学,韩山师范学院,广东省潮州市湘桥区,广东省潮州市湘桥区,英语,其他人员,,2021-09-01,,基础教育学院,英语教育,专科
,广东省梅州市大埔县,境内升学,广州理工学院,广东省广州市白云区,广东省广州市白云区,英语专业（教育）,其他人员,,2021-08-26,,外语外贸学院,商务英语,专科
,广东省清远市阳山县,境内升学,韩山师范学院,广东省潮州市湘桥区,广东省潮州市湘桥区,英语教育,其他人员,,2021-09-01,,基础教育学院,英语教育,专科
,广东省汕头市潮阳区,境内升学,广东第二师范学院,广东省广州市海珠区,广东省广州市海珠区,汉语言文学,其他人员,,2021-09-01,,基础教育学院,语文教育,专科
,广东省汕尾市陆丰市,境内升学,广东白云学院,广东省广州市,广东省广州市,工商管理,其他人员,,2021-09-01,,公共管理学院,人力资源管理,专科
,广东省汕尾市陆丰市,境内升学,广州华商学院,广东省广州市增城区,广东省广州市增城区,人力资源管理,其他人员,,2021-09-01,,公共管理学院,文秘,专科
,广东省茂名市茂南区,签劳动合同形式就业,浩信贰捌国际贸易（广州）有限公司,广东省广州市番禺区,广东省广州市番禺区,外贸业务员,其他人员,4000.0,2021-07-05,比较匹配,外语外贸学院,商务英语,专科
,湖南省邵阳市新邵县,其他录用形式就业,广州市增城橘童乐器店,广东省广州市增城区,广东省广州市增城区,声乐老师,其他人员,6000.0,2021-03-12,不匹配,音乐舞蹈学院,表演艺术,专科
,广东省潮州市饶平县,签劳动合同形式就业,广州数字跳动信息科技有限公司,广东省广州市,广东省广州市,广告投放优化师,其他人员,4000.0,2021-07-12,一般匹配,外语外贸学院,商务日语,专科
,广东省中山市,签劳动合同形式就业,中山市华盛家具制造有限公司板式屏风分公司,广东省中山市,广东省中山市,技术部,其他人员,3000.0,2021-07-05,比较匹配,艺术设计学院,产品艺术设计,专科
,广东省中山市,境内升学,广东理工学院,广东省肇庆市鼎湖区,广东省肇庆市鼎湖区,国际经济与贸易,其他人员,,2023-09-01,匹配,外语外贸学院,国际贸易实务,专科
,广东省韶关市乐昌市,境内升学,韩山师范学院,广东省潮州市湘桥区,广东省潮州市湘桥区,英语,其他人员,,2021-09-01,,基础教育学院,英语教育,专科
,广东省广州市花都区,境内升学,广东技术师范大学,广东省广州市白云区,广东省广州市白云区,学前教育,其他人员,,2021-09-01,,学前教育学院,学前教育,专科
